3	केन्द्रीय सरकार	परीक्षण करना	भारत सरकार के उपक्रमों द्वारा
4	यह एजेंट फ़्लेमिंग की बारह पुस्तकों व दो लघुकथाओं में	यह एजेंट फ़्लेमिंग की बारह पुस्तकों व दो लघुकथाओं में	यह एजेंट फ़्लेमिंग की बारह पुस्तकों व दो लघुकथाओं में
6	कंपनी में	नवीनतम वेतनमानों लागू किया गया	अप्रैल
6	कंपनी में	नवीनतम वेतनमानों लागू किया गया	अप्रैल
6	कंपनी में	नवीनतम वेतनमानों लागू किया गया	अप्रैल
6	कंपनी में	नवीनतम वेतनमानों लागू किया गया	अप्रैल
7	गोधरा ट्रेन कांड	शुरू हुई	अहमदाबाद के साबरमती केंद्रीय जेल
7	गोधरा ट्रेन कांड	शुरू हुई	अहमदाबाद के साबरमती केंद्रीय जेल
7	गोधरा ट्रेन कांड	शुरू हुई	अहमदाबाद के साबरमती केंद्रीय जेल
8	06 अक्टूबर	06 अक्टूबर	06 अक्टूबर
10	1 अक्टूबर	जारी किया	इम्पीरियल पोस्टल सर्विस
10	1 अक्टूबर	जारी किया	इम्पीरियल पोस्टल सर्विस
11	आंध्र	अपनी राजधानी	साथ राज्य के साथ
11	आंध्र	अपनी राजधानी	साथ राज्य के साथ
11	आंध्र	अपनी राजधानी	साथ राज्य के साथ
11	आंध्र	अपनी राजधानी	साथ राज्य के साथ
12	न्यूजीलैंड	ज़ारी किया	सीज़न
12	न्यूजीलैंड	ज़ारी किया	सीज़न
13	1 अक्टूबर	रॉबर्ट आइगर ने सीईओ के रूप में माइकल आइजनर का स्थान लिया **Now	extract relations from this sentence:** **वाक्य:** 1 अक्टूबर को
14	यह	आजाद हुआ	यह
15	चन्द्रसिंह	अन्य गढ़वाली सैनिकों के साथ	भेज दिया **Now
16	इसे घोषित किया गया	गोविन्द बल्लभ पन्त	इसे घोषित किया गया
17	हम	इस स्कूल में	नहीं
18	चेहरे पर	अनूठी	आभा दिखाई पड़ती थी
18	चेहरे पर	अनूठी	आभा दिखाई पड़ती थी
18	चेहरे पर	अनूठी	आभा दिखाई पड़ती थी
18	चेहरे पर	अनूठी	आभा दिखाई पड़ती थी
18	चेहरे पर	अनूठी	आभा दिखाई पड़ती थी
20	कोप्पेन	मौसम वर्गीकरण मौसम आकलन के लिए	मौसम वर्गीकरण
21	बर्लिन	आज़ाद कराया	सोवियत दस्तों
21	बर्लिन	आज़ाद कराया	सोवियत दस्तों
21	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
21	भारतीय टीम ने	हराकर	ऑस्ट्रेलिया को
22	राष्ट्रपति	पद्म श्री सम्मान प्राप्त करने वाले	वे
22	राष्ट्रपति	पद्म श्री सम्मान प्राप्त करने	वे
22	भारतीय टीम	हराकर	फाइनल मैच में
25	भारतीय टीम ने	हराकर	विश्व कप जीता
25	भारतीय टीम ने	हराकर	विश्व कप जीता
26	इस श्रेष्ठ तत्त्व की उपासना करता हूं	इस श्रेष्ठ तत्त्व की उपासना करता हूं	इस श्रेष्ठ तत्त्व की उपासना करता हूं
26	इस श्रेष्ठ तत्त्व की उपासना करता हूं	इस श्रेष्ठ तत्त्व की उपासना करता हूं	इस श्रेष्ठ तत्त्व की उपासना करता हूं
27	हिमाचल प्रदेश में बहने वाली नदियों में	चार का उल्लेख	हिमाचल प्रदेश में बहने वाली नदियों में
29	सभी	शिक्षा	सभी सामाजिक विज्ञानों
29	सभी	शिक्षा	सभी सामाजिक विज्ञानों
29	सभी	शिक्षा	सभी सामाजिक विज्ञानों
29	सभी	शिक्षा	सभी सामाजिक विज्ञानों
29	सभी	शिक्षा	सभी सामाजिक विज्ञानों
